id,customer,date,amount,last_updated
1428,Costco,2025-04-02,1051,2025-04-02T11:53:00
3594,Costco,2025-04-02,1345,2025-04-02T01:23:00
4143,Costco,2025-04-02,1850,2025-04-02T02:55:00
5990,Costco,2025-04-03,601,2025-04-03T18:17:00
4979,Target,2025-04-03,1623,2025-04-03T15:13:00
2526,Walmart,2025-04-03,1943,2025-04-03T02:13:00
1782,eBay,2025-04-03,1815,2025-04-03T07:25:00
9127,Costco,2025-04-04,1808,2025-04-04T02:40:00
7551,Costco,2025-04-04,199,2025-04-04T23:52:00
7224,Costco,2025-04-04,488,2025-04-04T03:31:00
2368,BestBuy,2025-04-05,185,2025-04-05T13:23:00
2266,eBay,2025-04-05,666,2025-04-05T13:34:00
8702,BestBuy,2025-04-05,1750,2025-04-05T08:00:00
7344,Amazon,2025-04-05,1880,2025-04-05T10:32:00
1751,BestBuy,2025-04-05,1984,2025-04-05T23:13:00
4275,BestBuy,2025-04-06,1637,2025-04-06T02:36:00
6392,Costco,2025-04-06,128,2025-04-06T23:53:00
3899,Target,2025-04-06,717,2025-04-06T21:17:00
6058,Costco,2025-04-07,1482,2025-04-07T03:11:00
8123,Costco,2025-04-07,433,2025-04-07T15:15:00
1504,Target,2025-04-07,1476,2025-04-07T08:43:00
4007,Walmart,2025-04-07,170,2025-04-07T01:12:00
9074,BestBuy,2025-04-07,1776,2025-04-07T21:59:00
2365,Target,2025-04-07,194,2025-04-07T03:59:00
4863,eBay,2025-04-08,1829,2025-04-08T19:00:00
7400,Walmart,2025-04-08,1100,2025-04-08T07:36:00
6969,eBay,2025-04-08,1297,2025-04-08T18:40:00
1035,eBay,2025-04-08,895,2025-04-08T14:25:00
4737,Amazon,2025-04-09,384,2025-04-09T18:16:00
3790,Amazon,2025-04-09,488,2025-04-09T04:31:00
1632,BestBuy,2025-04-09,617,2025-04-09T08:01:00
8325,Amazon,2025-04-09,1282,2025-04-09T09:33:00
5637,Costco,2025-04-09,1587,2025-04-09T01:39:00
3287,eBay,2025-04-10,1563,2025-04-10T12:56:00
2137,BestBuy,2025-04-10,1385,2025-04-10T00:59:00
9413,eBay,2025-04-10,1505,2025-04-10T23:13:00
6543,BestBuy,2025-04-10,401,2025-04-10T16:19:00
6560,Walmart,2025-04-10,139,2025-04-10T18:24:00
7828,Walmart,2025-04-10,1200,2025-04-10T09:23:00
8330,Costco,2025-04-11,1550,2025-04-11T16:41:00
1757,eBay,2025-04-11,1447,2025-04-11T13:44:00
4014,eBay,2025-04-11,643,2025-04-11T06:46:00
1284,Costco,2025-04-11,1672,2025-04-11T16:20:00
7771,Walmart,2025-04-11,1123,2025-04-11T22:08:00
7233,Amazon,2025-04-11,1025,2025-04-11T18:54:00
2682,eBay,2025-04-12,317,2025-04-12T10:53:00
2474,Target,2025-04-12,1894,2025-04-12T16:12:00
8762,Costco,2025-04-12,1946,2025-04-12T06:44:00
8026,eBay,2025-04-12,1012,2025-04-12T00:28:00
8291,Walmart,2025-04-12,578,2025-04-12T12:00:00
4915,Walmart,2025-04-13,1057,2025-04-13T06:23:00
9076,Amazon,2025-04-13,1028,2025-04-13T21:13:00
8334,Costco,2025-04-13,1382,2025-04-13T17:03:00
7952,eBay,2025-04-13,1272,2025-04-13T08:17:00
1778,eBay,2025-04-13,1043,2025-04-13T18:09:00
8146,eBay,2025-04-13,147,2025-04-13T14:01:00
7606,Amazon,2025-04-14,632,2025-04-14T18:40:00
8489,BestBuy,2025-04-14,1676,2025-04-14T17:14:00
2181,Costco,2025-04-14,1134,2025-04-14T20:44:00
4529,BestBuy,2025-04-14,1351,2025-04-14T21:00:00
9463,Walmart,2025-04-14,1567,2025-04-14T14:19:00
6508,Target,2025-04-14,572,2025-04-14T11:29:00
2437,Target,2025-04-15,1247,2025-04-15T10:57:00
5905,Walmart,2025-04-15,926,2025-04-15T19:37:00
9796,BestBuy,2025-04-15,337,2025-04-15T13:44:00
6700,Amazon,2025-04-15,1995,2025-04-15T14:41:00
7749,Target,2025-04-16,296,2025-04-16T08:30:00
5950,Walmart,2025-04-16,1156,2025-04-16T00:42:00
8195,eBay,2025-04-16,1908,2025-04-16T08:07:00
1142,Target,2025-04-16,952,2025-04-16T23:23:00
3941,Amazon,2025-04-16,1099,2025-04-16T10:06:00
6556,Walmart,2025-04-16,958,2025-04-16T05:03:00
4481,Walmart,2025-04-17,1748,2025-04-17T21:29:00
3567,eBay,2025-04-17,100,2025-04-17T19:51:00
7159,BestBuy,2025-04-17,340,2025-04-17T22:10:00
1228,BestBuy,2025-04-18,1612,2025-04-18T23:42:00
7966,eBay,2025-04-18,1004,2025-04-18T01:03:00
9123,Walmart,2025-04-18,616,2025-04-18T19:16:00
3966,Walmart,2025-04-18,884,2025-04-18T08:52:00
5576,Costco,2025-04-18,626,2025-04-18T23:22:00
2850,Target,2025-04-19,828,2025-04-19T08:51:00
1402,Walmart,2025-04-19,1355,2025-04-19T13:23:00
3211,Walmart,2025-04-19,1846,2025-04-19T04:59:00
6701,Amazon,2025-04-19,1991,2025-04-19T14:37:00
3771,Walmart,2025-04-19,422,2025-04-19T05:09:00
8380,eBay,2025-04-20,1365,2025-04-20T20:43:00
4514,Costco,2025-04-20,870,2025-04-20T15:23:00
8987,eBay,2025-04-20,949,2025-04-20T05:54:00
3141,eBay,2025-04-20,1636,2025-04-20T15:03:00
2204,Target,2025-04-21,1240,2025-04-21T11:57:00
1253,Walmart,2025-04-21,1808,2025-04-21T02:15:00
